Comment,Description,Designator,Footprint,LibRef,Quantity,Value

"Cap","Capacitor","C1, C2, C3, C4, C5, C6, C7","0603C-GENERIC","Cap","7","100n"
"LED-RED-3MM","LED-GREEN-3MM","D1, D2","LED-3MM-GREEN","LED-GREEN-3MM","2",""
"","SOLDERDOT BYPASS","J1, J2","BYPASS-MINI","BYPASS-MINI","2",""
"RJ45","RJ45","K1","rj45","RJ45","1",""
"SWD","Header, 5-Pin","P1","HDR1X5","Header 5","1",""
"Header 3","Header, 3-Pin","P2, P5","XY301V-3P (5.00)","Header 3","2",""
"Header 4X2","Header, 4-Pin, Dual row","P4","HDR2X4","Header 4X2","1",""
"Header 4","Header, 4-Pin","P6","B4B-XH-A","Header 4","1",""
"MOSFET-N","N-Channel MOSFET","Q1, Q2","SOT23-123","MOSFET-N","2",""
"Res2","Resistor","R1, R3, R5, R7, R8, R9","0603R-GENERIC","Res2","6","10k"
"Res2","Resistor","R2","0603R-GENERIC","Res2","1","120"
"Res2","Resistor","R4, R6","0603R-GENERIC","Res2","2","330"
"Res2","Resistor","R10, R11","0603R-GENERIC","Res2","2","4k7"
"SW-PB-BLACK-SMD","PUSHBUTTON SWITCH 6MM SMD","SW1","PTS810","SW-PB-BLACK-SMD","1",""
"MCP2542FD","","U1","SO8","MCP2542FD","1",""
"AP2204RB","AP2204RB","U2","SOT-89","AP2204RB","1",""
"TLV70233DBVR","IC REG LINEAR 3.3V 150MA SOT23-5","U3","FP-SOT25-IPC_B","CMP-12756-000010-1","1",""
"STM32F302K8U6","ARM Cortex-M4 32-Bit MCU, 64 KB Flash, 16 KB SRAM, 24 I/Os, 2 to 3.6 V, -40 to 85 degC, 32-Pin UFQFPN, RoHS, Tray","U4","UFQFPN32_M","CMP-0011-00001-1","1",""
